Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  10:15:00,-6.275,428.58238939835396,1.0,715.0112779846514,1.0,715.0112779846514,428.58238939835396,-2.0248740496310999,23.74254211647374,3.227183119320898,-2.8744195415860078,-2.8942136970566234 
 01/01  10:30:00,-5.85,453.2377888169917,1.0,752.5077794605232,1.0,752.5077794605232,453.2377888169917,-1.8515395846872696,25.67680693833867,3.770020720659602,-2.252639591958882,-2.7596951579325839 
 01/01  10:45:00,-5.425,446.6260196270988,1.0,742.5988714321785,1.0,742.5988714321785,446.6260196270988,-1.773961364635725,25.528368127882805,3.84379894680319,-1.9480284538994966,-2.6350076781313218 
 01/01  11:00:00,-5.0,436.7909232848721,1.0,727.8169025450712,1.0,727.8169025450712,436.7909232848721,-1.695914062083102,25.297964436557707,3.8527273143222375,-1.6670812477999562,-2.5262061025802207 
 01/01  11:15:00,-4.575,419.7748252630619,1.0,700.3759009170325,1.0,700.3759009170325,419.7748252630619,-1.6496578588956428,24.554492331806438,3.7487757434792,-1.4204572058082477,-2.4353895643621366 
 01/01  11:30:00,-4.15,406.67686623739845,1.0,681.6705029034473,1.0,681.6705029034473,406.67686623739845,-1.589190742190886,24.223058690061355,3.712876480816931,-1.1248211800735817,-2.3584792776122684 
 01/01  11:45:00,-3.7249999999999998,356.21678303458045,1.0,602.01865277251,1.0,602.01865277251,356.21678303458045,-1.6788005035217418,21.194714186920839,3.0849901452395445,-1.2024881782972444,-2.305364846189742 
 01/01  12:00:00,-3.3,290.45075906421615,1.0,493.55004396206007,1.0,493.55004396206007,290.45075906421615,-1.824686727781339,17.015675170417997,2.1396152068843437,-1.4658242998417564,-2.284581814711784 
 01/01  12:15:00,-3.0249999999999996,238.5225089667731,1.0,412.335026418112,1.0,412.335026418112,238.5225089667731,-1.921061779306261,14.169947146051849,1.4002385365010924,-1.6501624940086118,-2.289861643977897 
 01/01  12:30:00,-2.75,173.61053038999305,1.0,305.94037763660148,1.0,305.94037763660148,173.61053038999305,-2.1012024057609888,9.996639647329165,0.39390056485262905,-2.003081283291408,-2.316912505613999 
 01/01  12:45:00,-2.475,157.9688391550547,1.0,281.0763483922329,1.0,281.0763483922329,157.9688391550547,-2.1023669779265377,9.48146160713292,0.19983788460558572,-1.848354504076724,-2.348134914302329 
 01/01  13:00:00,-2.2,142.6502957482623,1.0,256.7721209415886,1.0,256.7721209415886,142.6502957482623,-2.1162058013008497,8.872715000708704,0.0345293626924672,-1.6771338058287029,-2.3735900415630857 
 01/01  13:15:00,-1.9250000000000003,116.20925896596586,1.0,210.73276284570657,1.0,210.73276284570657,116.20925896596586,-2.1748226097526146,7.323069669750987,-0.3686829174102968,-1.697306551844406,-2.394012426226736 
 01/01  13:30:00,-1.6500000000000002,102.64403919985284,1.0,189.38488290342594,1.0,189.38488290342594,102.64403919985284,-2.1795758779587866,6.913532309127839,-0.529233212087604,-1.5735985427072024,-2.4088037381518569 
 01/01  13:45:00,-1.375,98.07703964280968,1.0,179.3940297802914,1.0,179.3940297802914,98.07703964280968,-2.1655318939069736,7.029836260517991,-0.5489273060993014,-1.3626711896715734,-2.4163924096519384 
 01/01  14:00:00,-1.1,93.38421660807669,1.0,169.43349014176136,1.0,169.43349014176136,93.38421660807669,-2.152869502352422,7.124664599108077,-0.5700970926360469,-1.1536980182322623,-2.4173036785992187 
 01/01  14:15:00,-1.1,98.16436411013703,1.0,178.15692317953907,1.0,178.15692317953907,98.16436411013703,-2.114010682522139,7.935725227010753,-0.4709825098101419,-1.0815998147479036,-2.412023580671305 
 01/01  14:30:00,-1.1,92.1896422599342,1.0,166.40516310952945,1.0,166.40516310952945,92.1896422599342,-2.1311099828359327,7.57124993535543,-0.5889954754292148,-1.1628160594377164,-2.4059205258224849 
 01/01  14:45:00,-1.1,77.44094997960687,1.0,140.8967369711617,1.0,140.8967369711617,77.44094997960687,-2.191742514466398,6.3616132004912189,-0.8758126750499287,-1.372862960830048,-2.4060847104504847 
 01/01  15:00:00,-1.1,63.46310812266782,1.0,116.57355796743004,1.0,116.57355796743004,63.46310812266782,-2.258736140532414,5.1475934260666869,-1.1641719336813595,-1.592741931909984,-2.4150173509514278 
 01/01  15:15:00,-1.1,50.14666200481952,1.0,93.14939272689483,1.0,93.14939272689483,50.14666200481952,-2.3187092537858229,4.083727401700758,-1.4372826417718443,-1.768788553882132,-2.4322757348927976 
 01/01  15:30:00,-1.1,30.993609962854117,1.0,57.94047897402063,1.0,57.94047897402063,30.993609962854117,-2.4403506687965708,1.9454548272294925,-1.859119696958146,-2.0668165157798059,-2.4602943812223065 
 01/01  15:45:00,-1.1,23.913208309890277,1.0,45.38251793443488,1.0,45.38251793443488,23.913208309890277,-2.4865919790244397,1.315066227280264,-2.0338642321860336,-2.1805696434349786,-2.4943021088808687 
 01/01  16:00:00,-1.1,16.621819796319284,1.0,32.02625108222755,1.0,32.02625108222755,16.621819796319284,-2.555524364292277,0.4309126655730484,-2.2143712769605488,-2.310111049079069,-2.530707335391474 
 01/01  16:15:00,-1.1,9.090217665822389,1.0,17.762198626050539,1.0,17.762198626050539,9.090217665822389,-2.65384868580402,-0.8460764287760669,-2.4490870070668508,-2.549235224455515,-2.5711041575764859 
 01/01  16:30:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,-2.7953379043446375,-2.691516805867317,-2.723234709512667,-2.750014275561057,-2.623036744647886 
 01/01  16:45:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,-2.8176451267346147,-2.836205360454003,-2.8073567415923437,-2.856012488548572,-2.6799199441324199 
 01/01  17:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,-2.8554557106464446,-3.047600878736835,-2.8587524476337196,-2.9622025751392586,-2.732783729622788 
 01/01  17:15:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,-2.8852543138062947,-3.192738619676582,-2.922582370203372,-3.1009165832591636,-2.7781697356772434 
 01/01  17:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,-2.913697015579771,-3.345120987884631,-2.9784655759062277,-3.230005632215466,-2.816770970417489 
 01/01  17:45:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-2.9399961575727358,-3.496695840097615,-3.0310660136224216,-3.3529619871430897,-2.8507625615966587 
 01/01  18:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,-2.965217310540729,-3.6484361355666534,-3.0869217198788876,-3.4890557947947515,-2.8810104223433417 
 01/01  18:15:00,-1.825,0.0,0.0,0.0,0.0,0.0,0.0,-2.9604742578618947,-3.4694840122941756,-3.084680150346969,-3.4461964472227466,-2.904449412462442 
 01/01  18:30:00,-1.9500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-2.9541624334529126,-3.3756041055424115,-3.078372369460226,-3.428404186730745,-2.9190865149085938 
 01/01  18:45:00,-2.075,0.0,0.0,0.0,0.0,0.0,0.0,-2.9531570547457557,-3.442144259714659,-3.103381841484179,-3.4946153688674146,-2.926423921344695 
 01/01  19:00:00,-2.2,0.0,0.0,0.0,0.0,0.0,0.0,-2.9485023137569437,-3.3956688018001657,-3.09870657312257,-3.4949062370576486,-2.9292021193645496 
 01/01  19:15:00,-1.9250000000000003,0.0,0.0,0.0,0.0,0.0,0.0,-2.925492808059109,-3.087802487648284,-3.0146536723128749,-3.239755689161427,-2.9282853563603066 
 01/01  19:30:00,-1.6500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-2.89954699846624,-2.7831204163739375,-2.925819590462993,-2.981183671408189,-2.924477962147693 
 01/01  19:45:00,-1.375,0.0,0.0,0.0,0.0,0.0,0.0,-2.8754961740325126,-2.4823626726559424,-2.835399772628705,-2.7221065340233396,-2.9179569844676775 
 01/01  20:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,-2.8499345359084295,-2.182014242511637,-2.7479399021535757,-2.4626961162205136,-2.909112588988274 
 01/01  20:15:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,-2.8773762037619097,-2.488364131966036,-2.8176831485979507,-2.6982970532852734,-2.9019900395262838 
